p_id,ps_id,exp_id,trial,t_id,N_T,d_feature,rt,response,error
1 1a,12,1,638,right,0,blue,0.707,1,0
1 1a,12,1,31,right,0,blue,0.369,1,0
1 1a,12,1,528,right,0,blue,0.44,1,0
1 1a,12,1,631,left,0,blue,0.397,0,0
1 1a,12,1,275,left,0,blue,0.349,0,0
1 1a,12,1,241,right,0,blue,0.367,1,0
1 1a,12,1,443,right,1,blue,0.742,1,0
1 1a,12,1,488,left,1,blue,0.528,0,0
1 1a,12,1,529,left,1,blue,0.394,0,0
1 1a,12,1,372,right,1,blue,0.608,1,0
1 1a,12,1,550,right,1,blue,0.645,1,0
1 1a,12,1,107,right,1,blue,0.476,1,0
1 1a,12,1,389,right,4,blue,0.634,1,0
1 1a,12,1,311,left,4,blue,0.612,0,0
1 1a,12,1,86,left,4,blue,0.531,0,0
1 1a,12,1,639,left,4,blue,0.474,0,0
1 1a,12,1,530,right,4,blue,0.425,1,0
1 1a,12,1,407,left,4,blue,0.486,0,0
1 1a,12,1,331,left,9,blue,0.476,0,0
1 1a,12,1,413,right,9,blue,0.639,1,0
1 1a,12,1,421,left,9,blue,0.755,0,0
1 1a,12,1,139,left,9,blue,0.829,0,0
1 1a,12,1,101,right,9,blue,0.563,1,0
1 1a,12,1,398,left,9,blue,0.526,0,0
1 1a,12,1,325,left,19,blue,0.42,0,0
1 1a,12,1,270,left,19,blue,0.616,0,0
1 1a,12,1,499,right,19,blue,0.694,1,0
1 1a,12,1,569,right,19,blue,0.692,1,0
1 1a,12,1,559,left,19,blue,0.802,0,0
1 1a,12,1,136,right,19,blue,1.069,1,0
1 1a,12,1,82,left,31,blue,0.629,0,0
1 1a,12,1,334,left,31,blue,0.697,0,0
1 1a,12,1,614,right,31,blue,0.782,1,0
1 1a,12,1,33,right,31,blue,1.116,1,0
1 1a,12,1,164,right,31,blue,0.646,1,0
1 1a,12,1,14,left,31,blue,0.727,0,0
1 1a,12,1,528,right,0,orange,0.44,1,0
1 1a,12,1,32,left,0,orange,0.48,0,0
1 1a,12,1,369,right,0,orange,0.382,1,0
1 1a,12,1,31,right,0,orange,0.369,1,0
1 1a,12,1,403,left,0,orange,0.458,0,0
1 1a,12,1,635,left,0,orange,0.533,0,0
1 1a,12,1,536,right,1,orange,0.332,1,0
1 1a,12,1,167,right,1,orange,0.397,1,0
1 1a,12,1,525,right,1,orange,0.392,1,0
1 1a,12,1,340,right,1,orange,0.47,1,0
1 1a,12,1,39,right,1,orange,0.543,1,0
1 1a,12,1,309,right,1,orange,0.491,1,0
1 1a,12,1,221,right,4,orange,0.438,1,0
