ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,7.287866686121561,None,space,0.876022394746542,8.255757090519182,None,,,,,,,,,,,,,,,,,,,,,,,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
,,,,,,,,,,,,,9.173229513049591,None,space,0.030614883231464773,10.140952558314893,None,,,,,,,,,,,,,,,,,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_0_colour1_distractors1_r.png,r,2,0,0,0,0,,,,,,,,,,,,,9.173229513049591,None,9.173229513049591,None,10.307488665624987,None,2,1,1.9681172832497396,10.307488665624987,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_16_colour1_distractors4_l.png,l,1,0,1,1,16,,,,,,,,,,,,,,,,,12.376215353782754,None,1,1,0.9634216272970662,12.376215353782754,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_5_colour2_distractors1_r.png,r,2,0,2,2,5,,,,,,,,,,,,,,,,,13.477262196422089,None,2,1,0.6143136547179893,13.477262196422089,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_17_colour1_distractors9_l.png,l,1,0,3,3,17,,,,,,,,,,,,,,,,,14.211364357790444,None,1,1,0.7922593036200851,14.211364357790444,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,0,4,4,8,,,,,,,,,,,,,,,,,15.129041259293444,None,2,1,0.5224456450669095,15.129041259293444,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,0,5,5,12,,,,,,,,,,,,,,,,,15.779727847781032,None,2,1,0.9038388923509046,15.779727847781032,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_18_colour1_distractors19_l.png,l,1,0,6,6,18,,,,,,,,,,,,,,,,,16.813930232659914,None,1,1,0.6216153773129918,16.813930232659914,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_15_colour1_distractors1_l.png,l,1,0,7,7,15,,,,,,,,,,,,,,,,,17.564676468842663,None,1,1,0.6550750460010022,17.564676468842663,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_6_colour2_distractors4_r.png,r,2,0,8,8,6,,,,,,,,,,,,,,,,,18.348778694227803,None,2,1,0.6868649632669985,18.348778694227803,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_13_colour3_distractors19_r.png,r,2,0,9,9,13,,,,,,,,,,,,,,,,,19.16640266799368,None,2,1,0.8371905935928226,19.16640266799368,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_3_colour1_distractors19_r.png,r,2,0,10,10,3,,,,,,,,,,,,,,,,,20.133827474783175,None,2,1,0.6699408899294212,20.133827474783175,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_7_colour2_distractors9_r.png,r,2,0,11,11,7,,,,,,,,,,,,,,,,,20.93466209451435,None,2,1,0.6129213418462314,20.93466209451435,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_9_colour2_distractors31_r.png,r,2,0,12,12,9,,,,,,,,,,,,,,,,,21.668655776476953,None,2,1,0.823014666151721,21.668655776476953,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_2_colour1_distractors9_r.png,r,2,0,13,13,2,,,,,,,,,,,,,,,,,22.61972226703074,None,2,1,0.6639812404173426,22.61972226703074,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_4_colour1_distractors31_r.png,r,2,0,14,14,4,,,,,,,,,,,,,,,,,23.403863852203358,None,2,1,0.5677807729807682,23.403863852203358,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_1_colour1_distractors4_r.png,r,2,0,15,15,1,,,,,,,,,,,,,,,,,24.087921469821595,None,2,1,0.6598206217167899,24.087921469821595,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_11_colour3_distractors4_r.png,r,2,0,16,16,11,,,,,,,,,,,,,,,,,24.888554490578827,None,2,1,0.8269768858444877,24.888554490578827,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_10_colour3_distractors1_r.png,r,2,0,17,17,10,,,,,,,,,,,,,,,,,25.83949650177965,None,2,1,0.6520763413282111,25.83949650177965,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_14_colour3_distractors31_r.png,r,2,0,18,18,14,,,,,,,,,,,,,,,,,26.606973212270532,None,2,1,0.7567519654403441,26.606973212270532,None,None,None,None,None,None,,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
images/exp1a_trial_19_colour1_distractors31_l.png,l,1,0,19,19,19,,,,,,,,,,,,,,,,,27.491107885492966,None,1,1,0.8804703719797544,27.491107885492966,None,28.425318782334216,None,space,28.425318782334216,None,8.378202223626431,2,001,2020_Oct_13_1601,searchDisc2,2020.2.2,59.875612625715824,
