ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,space,1.024337800219655,14.061407699715346,None,,,,,,,,,,,,,,,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,0,0,0,12,,,,,9.09358109999448,None,15.267767499666661,None,2,1,1.978186100255698,15.267767499666661,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_14_colour3_distractors31_r.png,r,2,0,1,1,14,,,,,,,17.347248799633235,None,2,1,0.7142234002240002,17.347248799633235,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_58_colour3_distractors4_l.png,l,1,0,2,2,58,,,,,,,18.150474599562585,None,1,1,0.5189566998742521,18.150474599562585,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_36_colour1_distractors31_r.png,r,2,0,3,3,36,,,,,,,18.740881599951535,None,2,1,0.7685473002493382,18.740881599951535,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_10_colour3_distractors1_r.png,r,2,0,4,4,10,,,,,,,19.59369369968772,None,2,1,0.6120494999922812,19.59369369968772,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_0_colour1_distractors1_r.png,r,2,0,5,5,0,,,,,,,20.27791029959917,None,2,1,0.5609687999822199,20.27791029959917,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_43_colour3_distractors4_r.png,r,2,0,6,6,43,,,,,,,20.93789599975571,None,2,1,0.6272865002974868,20.93789599975571,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_16_colour1_distractors4_l.png,l,1,0,7,7,16,,,,,,,21.6724564996548,None,1,1,0.5333704999648035,21.6724564996548,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_86_colour2_distractors9_l.png,l,1,0,8,8,86,,,,,,,22.29093959974125,None,1,1,0.9638034999370575,22.29093959974125,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_44_colour3_distractors9_r.png,r,2,0,9,9,44,,,,,,,23.36192169971764,None,2,1,0.6607837001793087,23.36192169971764,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_48_colour1_distractors4_l.png,l,1,0,10,10,48,,,,,,,24.136835400015116,None,1,1,0.5482851001434028,24.136835400015116,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_37_colour2_distractors1_r.png,r,2,0,11,11,37,,,,,,,24.756137799937278,None,2,1,0.5451400000602007,24.756137799937278,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_66_colour1_distractors9_r.png,r,2,0,12,12,66,,,,,,,25.38584169978276,None,2,1,0.7490142998285592,25.38584169978276,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_83_colour1_distractors31_l.png,l,1,0,13,13,83,,,,,,,26.223164099734277,None,1,1,1.0942796999588609,26.223164099734277,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_92_colour3_distractors19_l.png,l,1,0,14,14,92,,,,,,,27.421690399758518,None,1,1,1.3596549001522362,27.421690399758518,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_32_colour1_distractors1_r.png,r,2,0,15,15,32,,,,,,,28.84335139999166,None,2,1,1.714553200174123,28.84335139999166,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_76_colour3_distractors9_r.png,r,2,0,16,16,76,,,,,,,30.65267699956894,None,2,1,0.6566305002197623,30.65267699956894,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_90_colour3_distractors4_l.png,l,1,0,17,17,90,,,,,,,31.406103399582207,None,1,1,0.5198329002596438,31.406103399582207,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
images/exp1a_trial_69_colour2_distractors1_r.png,r,2,0,18,18,69,,,,,,,32.02631049975753,None,2,1,0.49085510009899735,32.02631049975753,None,None,None,None,None,None,1,001,2020_Oct_09_1158,searchDisc,2020.2.4,59.851389109479825,
,,,,,,,,,,,,,32.597160399891436,None,1,1,0.7855535000562668,32.597160399891436,None,,,,,,,,,,,,
