ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,6.361191403935663,None,space,0.350382829667069,7.329031919478439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
,,,,,,,,,,,,,,,,,7.712575187499169,None,space,0.014862949610687792,8.680481622635853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,0,0,0,18,,,,,,,,,,,,,,,,,7.712575187499169,None,7.712575187499169,None,8.830387271242216,None,2,1,1.560905069753062,8.830387271242216,None,10.448776151402853,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,0,1,1,9,,,,,,,,,,,,,,,,,,,,,11.532959959586151,None,1,1,0.7385244697798043,11.532959959586151,None,12.30047177313827,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,0,2,2,13,,,,,,,,,,,,,,,,,,,,,13.384774940554053,None,2,0,0.6385733974748291,13.384774940554053,None,14.08578763838159,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,0,3,3,0,,,,,,,,,,,,,,,,,,,,,15.169865207222756,None,2,1,0.7176218768581748,15.169865207222756,None,15.92095312057063,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,0,4,4,10,,,,,,,,,,,,,,,,,,,,,17.005214048258495,None,1,1,0.9224391915486194,17.005214048258495,None,17.956168906472158,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,0,5,5,15,,,,,,,,,,,,,,,,,,,,,19.057237411965616,None,1,1,0.798219786840491,19.057237411965616,None,19.87461964227259,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,0,6,6,7,,,,,,,,,,,,,,,,,,,,,20.95889400993474,None,2,1,0.5925717571517453,20.95889400993474,None,21.576481614960358,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,0,7,7,16,,,,,,,,,,,,,,,,,,,,,22.660558863775805,None,1,1,0.7947350080357864,22.660558863775805,None,23.478251172229648,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_1340,searchDisc3,2020.2.2,59.916539161841484,
