ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,7.785950421413872,None,space,1.105539518292062,8.753745177236851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
,,,,,,,,,,,,,9.888286439236253,None,space,1.56294377730228,9.888286439236253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
,,,,,,,,,,,,,,,,,,,11.489662942825817,None,space,2.521836827218067,12.457472098583821,None,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,0,0,0,13,,,,,,,,,,,,,,,,,,,11.489662942825817,None,11.489662942825817,None,15.059797076450195,None,space,1.7114993541035801,15.059797076450195,None,16.87819818058051,None,1,1,1.3652576192398556,16.87819818058051,None,18.296539317059796,None,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,19.297594670613762,None,space,0.761774568411056,19.297594670613762,None,20.18148081662366,None,2,1,1.229756043117959,20.18148081662366,None,21.432845048315357,None,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,22.433768562681507,None,space,2.8255351407569833,22.433768562681507,None,25.369915190909524,None,2,1,1.4734278415562585,25.369915190909524,None,26.87174093979411,None,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,27.872753413685132,None,space,0.76261328329565,27.872753413685132,None,28.75668435933767,None,1,1,1.582554858061485,28.75668435933767,None,30.358537340071052,None,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,31.359467574453447,None,space,0.5557406211155467,31.359467574453447,None,32.0264308793121,None,2,1,1.1131033123238012,32.0264308793121,None,33.16106750071049,None,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
Practice arrays/exp1a_trial_25_colour2_distractors4_l.png,l,1,0,5,5,12,,,,,,,,,,,,,,,,,,,,,,,34.16220765380422,None,space,0.6572308840695769,34.16220765380422,None,34.92953290842706,None,1,1,1.3376897868001834,34.92953290842706,None,36.29773162980564,None,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,37.29868810396874,None,space,0.6648148379754275,37.29868810396874,None,38.08253197820159,None,2,1,1.4168838653713465,38.08253197820159,None,39.51754245336633,None,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,40.518517487391364,None,space,0.548810423235409,40.518517487391364,None,41.168886333180126,None,2,1,1.0504812931176275,41.168886333180126,None,42.236779360391665,None,,001,2020_Dec_17_2200,searchDisc3,2020.2.2,59.81595937559343,
