ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix2experiment.started,fix2experiment.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.818933900911361,None,space,0.3694841535179876,9.786831696052104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
,,,,,,,,,,,,,,,,,10.187196301820222,None,space,1.737006719049532,10.187196301820222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
,,,,,,,,,,,,,,,,,,,,,,,11.97207184979925,None,space,3.3040848711389117,12.939932525216136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,11.97207184979925,None,11.97207184979925,None,16.309653797303326,None,space,0.9185390553320758,16.309653797303326,None,17.327394809457473,None,1,1,1.8447375840041786,17.327394809457473,None,19.212735026550945,None,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,20.21384925977327,None,space,0.97424943652004,20.21384925977327,None,21.314627207058948,None,2,1,0.8414857637835667,21.314627207058948,None,22.182369771180674,None,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,0,2,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18338992499048,None,space,0.6367305286694318,23.18338992499048,None,23.950602220313158,None,1,1,0.6775213207001798,23.950602220313158,None,24.651331719884183,None,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,25.652534912573174,None,space,0.5997621134156361,25.652534912573174,None,26.352858974598348,None,1,1,0.6192275951034389,26.352858974598348,None,27.003745577239897,None,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,28.004655971715692,None,space,1.279522780503612,28.004655971715692,None,29.389176193799358,None,2,1,0.6309440038749017,29.389176193799358,None,30.040070796385407,None,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
Practice arrays/exp1a_trial_21_colour1_distractors19_l.png,l,1,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,31.041131269943435,None,space,1.2191669874591753,31.041131269943435,None,32.358750778774265,None,1,1,1.733457940572407,32.358750778774265,None,34.11065820720978,None,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,35.111670041049365,None,space,0.5164026202983223,35.111670041049365,None,35.72889828827465,None,1,1,0.7952316449373029,35.72889828827465,None,36.54644947760971,None,,,,,,,,,,,,,,001,2020_Dec_17_2303,searchDisc3,2020.2.2,59.914816023174595,
