ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix2experiment.started,fix2experiment.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,17.311586008174345,None,space,0.7110870686592534,18.279371576820267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
,,,,,,,,,,,,,,,,,19.01347699924372,None,space,12.032853145617992,19.01347699924372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
,,,,,,,,,,,,,,,,,,,,,,,31.09184941701824,None,space,0.6584980998595711,32.059720744902734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,31.09184941701824,None,31.09184941701824,None,32.79360824925243,None,space,1.3166397229069844,32.79360824925243,None,34.22815827568411,None,1,1,1.2903551584167872,34.22815827568411,None,35.562887436535675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,36.56403942621546,None,space,0.7546025187766645,36.56403942621546,None,37.431364774965914,None,1,1,1.8869158932357095,37.431364774965914,None,39.333422932541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,40.33453940250911,None,space,0.9596675614011474,40.33453940250911,None,41.40190711891046,None,2,1,0.7164575805363711,41.40190711891046,None,42.136066620849306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,43.137119411403546,None,space,24.26155637644115,43.137119411403546,None,67.51088022251497,None,2,1,0.5992656705784611,67.51088022251497,None,68.12835212994833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_25_colour2_distractors4_l.png,l,1,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,69.12931468134047,None,space,0.42117830624920316,69.12931468134047,None,69.66300333949039,None,1,1,0.6792777536611538,69.66300333949039,None,70.3637308209727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,71.36494201011374,None,space,0.4732133600045927,71.36494201011374,None,71.94853134115692,None,2,1,0.6257083136588335,71.94853134115692,None,72.59944230900146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,0,6,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,73.60031526116654,None,space,0.41391725130961277,73.60031526116654,None,74.11729686902254,None,1,1,0.6008816561079584,74.11729686902254,None,74.734899335308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,75.73590444627916,None,space,0.43022718516294844,75.73590444627916,None,76.2695835045306,None,1,1,0.6166869545122609,76.2695835045306,None,76.90368950294214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_21_colour1_distractors19_l.png,l,1,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,77.90473877353361,None,space,0.4056821250997018,77.90473877353361,None,78.42154918290908,None,1,1,0.6485324291570578,78.42154918290908,None,79.0890763218631,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,80.09024111143663,None,space,0.4678809277829714,80.09024111143663,None,80.65700755320722,None,1,1,0.5650544571108185,80.65700755320722,None,81.24114759932854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,82.24225734936772,None,space,1.1078825533622876,82.24225734936772,None,83.45978020035545,None,2,1,0.6103238115028944,83.45978020035545,None,84.09399499779101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,85.09504522840143,None,space,0.5271037571656052,85.09504522840143,None,85.72872115066275,None,2,1,0.581330151297152,85.72872115066275,None,86.32941144847427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,0,12,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,87.33058007800719,None,space,0.4355228177155368,87.33058007800719,None,87.88098378639552,None,1,1,0.5894324786786456,87.88098378639552,None,88.49836129468167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
