exp_id,d_feature,N_T,mean_rt,p_rt
2a,0,0,582.801177462888,NA
2a,orange diamond,1,597.7237820512821,556.1551642097176
2a,orange diamond,4,585.1705026990553,564.1512870561694
2a,orange diamond,9,603.3309624503046,570.2001204816614
2a,orange diamond,19,596.2986673414305,576.2489539071535
2a,orange diamond,31,616.3324325236167,580.3504979116859
2a,blue circle,1,616.2338631597185,573.9156605638525
2a,blue circle,4,634.2748611111111,605.3898825199797
2a,blue circle,9,660.3111150472334,629.1992122996066
2a,blue circle,19,671.15625,653.0085420792336
2a,blue circle,31,701.5240384615385,669.1529796823603
2a,yellow triangle,1,613.7197553981107,560.0714402664329
2a,yellow triangle,4,614.1612396049896,573.2445984595912
2a,yellow triangle,9,629.334330296896,583.2097079417986
2a,yellow triangle,19,618.7469180161943,593.1748174240059
2a,yellow triangle,31,618.2909671007039,599.9318781952622
2b,0,0,520.0602294197031,NA
2b,orange circle,1,534.767108636977,555.9937056386394
2b,orange circle,4,521.5903205128205,563.7763918638226
2b,orange circle,9,542.7475665833135,569.6637667182365
2b,orange circle,19,538.7273873873874,575.5511415726504
2b,orange circle,31,548.7818336707153,579.543205056295
2b,yellow diamond,1,536.9607692307692,559.2962676763091
2b,yellow diamond,4,544.0903363332968,571.4447034441962
2b,yellow diamond,9,537.7034615384615,580.6346403362797
2b,yellow diamond,19,567.2403846153846,589.8245772283633
2b,yellow diamond,31,561.4273110661269,596.0560152446434
2b,blue triangle,1,591.2286093482146,584.586786434676
2b,blue triangle,4,634.678784862798,630.1674694835242
2b,blue triangle,9,655.6952479757085,664.6479251339747
2b,blue triangle,19,697.5368016194332,699.1283807844251
2b,blue triangle,31,729.9502707261918,722.5086090364779
2c,0,0,547.4575854700855,NA
2c,blue diamond,1,608.7825421727396,576.7968512642067
2c,blue diamond,4,631.6914733559471,612.0798001538604
2c,blue diamond,9,664.0102631578948,638.7703206338416
2c,blue diamond,19,693.0281663292848,665.4608411138229
2c,blue diamond,31,705.6730598716125,683.5589331841315
2c,yellow circle,1,586.5368482905983,558.9286770571354
2c,yellow circle,4,564.2319520757021,570.5911844581199
2c,yellow circle,9,583.4598753671509,579.4135307310297
2c,yellow circle,19,610.0465705128205,588.2358770039395
2c,yellow circle,31,595.7774477361977,594.218062148775
2c,orange triangle,1,572.0875833424518,556.4815811377274
2c,orange triangle,4,602.4119099007914,564.909203691962
2c,orange triangle,9,601.0906122439675,571.2844540454639
2c,orange triangle,19,607.8623903508771,577.6597043989657
2c,orange triangle,31,601.0597466900099,581.9825825517347
4a,0,0,490.557264957265,NA
4a,orange diamond,1,514.7069130437551,491.69516580262865
4a,orange diamond,4,531.7825632457211,516.3907618688771
4a,orange diamond,9,547.3877599982864,535.0722591165414
4a,orange diamond,19,553.5895047447679,553.7537563642059
4a,orange diamond,31,574.4029936529936,566.4211547932861
4a,blue circle,1,505.57409870830924,479.6249987832607
4a,blue circle,4,499.44373272925907,488.3647019566238
4a,blue circle,9,500.1359472398946,494.9760321849202
4a,blue circle,19,510.24614594351436,501.5873624132166
4a,blue circle,31,509.57247284878866,506.07031969644635
4a,yellow semicircle,1,503.6801219416351,486.44151587214157
4a,yellow semicircle,4,532.6049705865495,504.19216449457605
4a,yellow semicircle,9,536.8730438940966,517.6200118117533
4a,yellow semicircle,19,544.7577509478825,531.0478591289306
4a,yellow semicircle,31,556.3911632227422,540.1529051408506
4b,0,0,475.7155769230769,NA
4b,orange circle,1,493.52203947368423,484.1103960180109
4b,orange circle,4,513.3120601269286,498.7794718127204
4b,orange circle,9,512.5231730769231,509.87619927576696
4b,orange circle,19,526.7620833333333,520.9729267388136
4b,orange circle,31,529.7462280701754,528.4973058701974
4b,yellow diamond,1,495.9338613360324,484.20542691084785
4b,yellow diamond,4,501.78332152496625,499.00012671268064
4b,yellow diamond,9,505.4635492577598,510.1918850685642
4b,yellow diamond,19,524.4253559379217,521.3836434244478
4b,yellow diamond,31,519.6434294871794,528.9724603343819
4b,blue semicircle,1,498.0948472207025,483.0348765485901
4b,blue semicircle,4,505.5142605105105,496.2821929400738
4b,blue semicircle,9,526.5594243079112,506.3034009336996
4b,blue semicircle,19,529.0552693432298,516.3246089273254
4b,blue semicircle,31,534.6931241565452,523.1197085230932
4c,0,0,451.890983964436,NA
4c,blue diamond,1,472.7144870261318,481.7345177219769
4c,blue diamond,4,482.70096456274086,493.26285324712586
4c,blue diamond,9,488.1320411605938,501.98370241413846
4c,blue diamond,19,502.4257372706715,510.70455158115107
4c,blue diamond,31,495.84222517051467,516.6179143900273
4c,yellow circle,1,478.3606545209177,480.9540065694574
4c,yellow circle,4,495.6888782051282,491.450562473718
4c,yellow circle,9,484.07534996535,499.39090048821106
4c,yellow circle,19,489.93280645524067,507.3312385027042
4c,yellow circle,31,501.7153930499325,512.7153586274299
4c,orange semicircle,1,501.9257275180959,498.8872000964511
4c,orange semicircle,4,533.7692011990812,533.090148355097
4c,orange semicircle,9,546.4499506857508,558.9636798965838
4c,orange semicircle,19,562.9554568485489,584.8372114380707
4c,orange semicircle,31,582.2088451052267,602.3813262623986
